SN,Point Num,Title,Center Point Rel,Circle Point Rel,Center Point Abs,Circle Point Abs,Slope,Angle,Timestamp,Validity,Distance
1,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 61.42780742 113.7383604    7.41171813],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1340012.19369339 10506304.59883361     2565.55429626],0.042240361746143956,61.92361450442789,May-01-2022 13:46:17,False,22.777721963370826
2,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 60.05289255 114.4717685    7.43895173],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1340010.81877852 10506305.33224171     2565.58152986],0.04093956297861538,65.92361450442789,May-01-2022 13:46:17,False,22.834411835620386
3,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 58.64809277 115.22111783   7.48030257],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1340009.41397874 10506306.08159104     2565.6228807 ],0.0388405307192789,69.92361450442789,May-01-2022 13:46:17,False,23.000990416468596
4,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 57.18081879 116.00379219   7.51344323],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1340007.94670476 10506306.8642654      2565.65602136],0.03693082505638833,73.92361450442789,May-01-2022 13:46:17,False,23.29064896554661
5,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 55.678376   116.80522633   7.55949998],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1340006.44426197 10506307.66569954     2565.7020781 ],0.03433876651142927,77.92361450442789,May-01-2022 13:46:17,False,23.704393810599477
6,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 54.16672106 117.61157442   7.62628198],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1340004.93260703 10506308.47204763     2565.7688601 ],0.03082745000369515,81.92361450442789,May-01-2022 13:46:17,False,24.23401542698144
7,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 52.15517217 113.93720108   7.64390373],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1340002.92105813 10506304.79767429     2565.78648186],0.03581650454681975,85.92361450442789,May-01-2022 13:46:17,False,20.369489498380197
8,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 50.79388556 111.3852069    7.67233849],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1340001.55977153 10506302.24568011     2565.81491661],0.039456784493939474,89.92361450442789,May-01-2022 13:46:17,False,17.77151545454555
9,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 49.71374205 109.36026965   7.67283916],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1340000.47962801 10506300.22074286     2565.81541729],0.0444022488266439,93.92361450442789,May-01-2022 13:46:17,False,15.784129486038106
10,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 48.83636578 107.7154587    7.69937181],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339999.60225175 10506298.57593191     2565.84194994],0.04736896155189311,97.92361450442789,May-01-2022 13:46:17,False,14.236825856663012
11,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 48.10633881 106.34688241   7.69947195],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339998.87222478 10506297.20735562     2565.84205008],0.051823517358339156,101.92361450442789,May-01-2022 13:46:17,False,13.014014909369344
12,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 47.48371794 105.17965955   7.66883421],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339998.24960391 10506296.04013276     2565.81141233],0.058620867353722295,105.92361450442789,May-01-2022 13:46:17,False,12.032827724461384
13,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 46.9565605  104.19140131   7.65641904],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339997.72244647 10506295.05187452     2565.79899716],0.06379103596109495,109.92361450442789,May-01-2022 13:46:17,False,11.256089598486032
14,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 46.49365545 103.32359655   7.65001106],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339997.25954142 10506294.18406976     2565.79258919],0.06820803200093584,113.92361450442789,May-01-2022 13:46:17,False,10.624392809481764
15,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 45.98438189 102.36886507   7.75904512],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339996.75026785 10506293.22933828     2565.90162325],0.06158868375945929,117.92361450442789,May-01-2022 13:46:17,False,9.987522023285424
16,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 45.70299671 101.84135431   7.99783874],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339996.46888268 10506292.70182752     2566.14041686],0.038859507396099655,121.92361450442789,May-01-2022 13:46:17,False,9.6615882713847
17,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 45.35657858 101.19192675   7.96079326],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339996.12246455 10506292.05239996     2566.10337138],0.044296776348480386,125.92361450442789,May-01-2022 13:46:17,False,9.314698294156376
18,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 45.0105606  100.54324934   7.8745873 ],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339995.77644657 10506291.40372255     2566.01716542],0.05535490850032989,129.9236145044279,May-01-2022 13:46:17,False,9.017734593096815
19,1,Point star value,[50.77630234 93.6275177   8.37300014],[ 44.81632877 100.17912432   7.59884834],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339995.58221474 10506291.03959753     2565.74142647],0.08740654510376272,133.9236145044279,May-01-2022 13:46:17,False,8.89067743340117
20,1,Point star value,[50.77630234 93.6275177   8.37300014],[44.52176076 99.6268998   7.38899016],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339995.28764673 10506290.48737301     2565.53156829],0.11353903518498508,137.9236145044279,May-01-2022 13:46:17,False,8.722393681483952
21,1,Point star value,[50.77630234 93.6275177   8.37300014],[44.09597458 98.82868153  7.35124373],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339994.86186055 10506289.68915473     2565.49382186],0.12068457172706551,141.9236145044279,May-01-2022 13:46:17,False,8.527770529254559
22,1,Point star value,[50.77630234 93.6275177   8.37300014],[43.816181   98.30415451  7.09723163],[ 1340001.54218831 10506284.48799091     2566.51557827],[ 1339994.58206696 10506289.16462772     2565.23980975],0.15214241180966778,145.9236145044279,May-01-2022 13:46:17,False,8.481851579271071
