X1,Y1,Z1,X2,Y2,Z2,Slope,Distance
-9.307181358337402,-13.226725578308105,781.62353515625,-8.936561584472656,-14.896099090576172,781.6693725585938,0.026805191628173755,1.710633802920835
-8.936561584472656,-14.896099090576172,781.6693725585938,-8.564802169799805,-16.569412231445312,781.7106323242188,0.024070627656748528,1.7146090802461882
-8.564802169799805,-16.569412231445312,781.7106323242188,-8.206897735595703,-18.24323844909668,781.773681640625,0.036835125303923986,1.7128236941434853
-8.206897735595703,-18.24323844909668,781.773681640625,-7.853271961212158,-19.919273376464844,781.8540649414062,0.04692724991709674,1.7148194485457813
-7.853271961212158,-19.919273376464844,781.8540649414062,-7.482785701751709,-21.591093063354492,781.9391479492188,0.04968702492334953,1.714491251695155
-7.482785701751709,-21.591093063354492,781.9391479492188,-7.112594127655029,-23.245220184326172,782.0297241210938,0.053435843621456744,1.6974635126499082
-7.112594127655029,-23.245220184326172,782.0297241210938,-6.7805633544921875,-24.912975311279297,782.1761474609375,0.0861067754359735,1.7067780735223155
-6.7805633544921875,-24.912975311279297,782.1761474609375,-6.380105018615723,-26.615047454833984,782.2944946289062,0.06768315114373366,1.7525474352507608
-6.380105018615723,-26.615047454833984,782.2944946289062,-6.029630184173584,-28.27437400817871,782.3102416992188,0.009285182315222464,1.6960086056490282
-6.029630184173584,-28.27437400817871,782.3102416992188,-5.657782554626465,-29.946056365966797,782.3253784179688,0.008838754436097346,1.7126066930834594
-5.657782554626465,-29.946056365966797,782.3253784179688,-5.301610469818115,-31.625076293945312,782.318115234375,-0.004231682954861791,1.716397164522717
-5.301610469818115,-31.625076293945312,782.318115234375,-4.936940670013428,-33.27763748168945,782.2118530273438,-0.06279089616973726,1.6956515558248009
-4.936940670013428,-33.27763748168945,782.2118530273438,-4.5441765785217285,-35.14790344238281,782.013427734375,-0.10382985029102985,1.9213357312513835
-4.5441765785217285,-35.14790344238281,782.013427734375,-4.158324241638184,-36.79322814941406,781.8815307617188,-0.07804724817227561,1.6951024242923627
-4.158324241638184,-36.79322814941406,781.8815307617188,-3.8862202167510986,-38.353946685791016,781.7938232421875,-0.055361786307100994,1.5866869757871886
-3.8862202167510986,-38.353946685791016,781.7938232421875,-3.471991777420044,-39.98775100708008,781.6714477539062,-0.07260496655908479,1.6899341763351405
