SN,Point Num,Title,Center Point Rel,Circle Point Rel,Center Point Abs,Circle Point Abs,Slope,Angle,Timestamp,Validity,Distance
1,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.00093001495749, 66.6426742198785, 7.009923934936523]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.00093001495749, 66.6426742198785, 7.009923934936523, 1339950.765885968, 10506190.86047321, 2558.1426]",0.6245686791589454,196.25672383572987,Apr-15-2022 12:54:33,False,1.8571699071741563
2,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.03320637004944, 66.53198741461634, 6.631959438323975]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.03320637004944, 66.53198741461634, 6.631959438323975, 1339950.765885968, 10506190.86047321, 2558.1426]",0.863976254883393,200.25672383572987,Apr-15-2022 12:54:33,False,2.0829647341778896
3,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.07260390051382, 66.39687963153803, 6.4891839027404785]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.07260390051382, 66.39687963153803, 6.4891839027404785, 1339950.765885968, 10506190.86047321, 2558.1426]",0.9469979795115323,204.25672383572987,Apr-15-2022 12:54:33,False,2.1881081914142033
4,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.107309842924636, 66.27786092951537, 6.457644939422607]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.107309842924636, 66.27786092951537, 6.457644939422607, 1339950.765885968, 10506190.86047321, 2558.1426]",0.9541001723071761,208.25672383572987,Apr-15-2022 12:54:33,False,2.225224604926638
5,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.1190628531125, 66.23755578520141, 6.356120347976685]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.1190628531125, 66.23755578520141, 6.356120347976685, 1339950.765885968, 10506190.86047321, 2558.1426]",1.0113306902025967,212.25672383572987,Apr-15-2022 12:54:33,False,2.302997569997713
6,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.16970318381085, 66.06389254452716, 6.144660234451294]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.16970318381085, 66.06389254452716, 6.144660234451294, 1339950.765885968, 10506190.86047321, 2558.1426]",1.1067240373158567,216.25672383572987,Apr-15-2022 12:54:33,False,2.492091367705193
7,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.19989273745403, 65.96036210450272, 6.109617233276367]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.19989273745403, 65.96036210450272, 6.109617233276367, 1339950.765885968, 10506190.86047321, 2558.1426]",1.1019182935530734,220.25672383572987,Apr-15-2022 12:54:33,False,2.5443043121094226
8,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.23933862943401, 65.82508847303029, 5.989068984985352]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.23933862943401, 65.82508847303029, 5.989068984985352, 1339950.765885968, 10506190.86047321, 2558.1426]",1.1328680394067452,224.25672383572987,Apr-15-2022 12:54:33,False,2.6739445982338754
9,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.274878301853505, 65.70321062192313, 6.0189056396484375]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.274878301853505, 65.70321062192313, 6.0189056396484375, 1339950.765885968, 10506190.86047321, 2558.1426]",1.078569824379648,228.25672383572987,Apr-15-2022 12:54:33,False,2.69302649245659
10,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.33817661120482, 65.48613878649945, 6.1795032024383545]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.33817661120482, 65.48613878649945, 6.1795032024383545, 1339950.765885968, 10506190.86047321, 2558.1426]",0.9274939637818616,232.25672383572987,Apr-15-2022 12:54:33,False,2.6678805455947745
11,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.36766123780745, 65.38502578555206, 6.145561456680298]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.36766123780745, 65.38502578555206, 6.145561456680298, 1339950.765885968, 10506190.86047321, 2558.1426]",0.9147887567688935,236.25672383572987,Apr-15-2022 12:54:33,False,2.7381487619209732
12,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.42357600843579, 65.19327466278158, 6.0238118171691895]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.42357600843579, 65.19327466278158, 6.0238118171691895, 1339950.765885968, 10506190.86047321, 2558.1426]",0.9157669294772255,240.25672383572987,Apr-15-2022 12:54:33,False,2.916829507392369
13,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.49376137466291, 64.95258472298809, 5.9913718700408936]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.49376137466291, 64.95258472298809, 5.9913718700408936, 1339950.765885968, 10506190.86047321, 2558.1426]",0.8596862191010193,244.25672383572987,Apr-15-2022 12:54:33,False,3.071566070380788
14,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.5995030182523, 64.58995998798504, 6.011196136474609]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.5995030182523, 64.58995998798504, 6.011196136474609, 1339950.765885968, 10506190.86047321, 2558.1426]",0.756695811720074,248.25672383572987,Apr-15-2022 12:54:33,False,3.2855462496007077
15,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.683895278275706, 64.3005496867216, 6.039130449295044]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.683895278275706, 64.3005496867216, 6.039130449295044, 1339950.765885968, 10506190.86047321, 2558.1426]",0.68183690560795,252.25672383572987,Apr-15-2022 12:54:33,False,3.46962284397193
16,1,Point star value,[55.52489471 67.04108429  7.99373341],"[54.79409368808985, 63.92264115607886, 6.111119031906128]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[54.79409368808985, 63.92264115607886, 6.111119031906128, 1339950.765885968, 10506190.86047321, 2558.1426]",0.5877788891226478,256.2567238357299,Apr-15-2022 12:54:33,False,3.7152381617449217
17,1,Point star value,[55.52489471 67.04108429  7.99373341],"[55.029688397681525, 63.11470526408972, 6.747501373291016]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[55.029688397681525, 63.11470526408972, 6.747501373291016, 1339950.765885968, 10506190.86047321, 2558.1426]",0.314905115395161,260.2567238357299,Apr-15-2022 12:54:33,False,4.1490692723996565
18,1,Point star value,[55.52489471 67.04108429  7.99373341],"[55.11699705377079, 62.81529363019472, 7.275049924850464]",[ 1340006.29078068 10506257.9015575      2566.13631153],"[55.11699705377079, 62.81529363019472, 7.275049924850464, 1339950.765885968, 10506190.86047321, 2558.1426]",0.16928397256831829,264.2567238357299,Apr-15-2022 12:54:33,False,4.305832456608686
