SN,Point Num,Title,Center Point,Circle Point,Slope,Angle,Timestamp,Validity,Distance
1,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.09907541180794, 66.86527184340503, 7.099033832550049, 1339950.765885968, 10506190.86047321, 2558.1426]",0.3426894533671413,198.3178123387289,Apr-15-2022 12:37:56,False,3.1904008423349945
2,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.14994369952965, 66.71162060098813, 6.815685510635376, 1339950.765885968, 10506190.86047321, 2558.1426]",0.43646516029034127,202.3178123387289,Apr-15-2022 12:37:56,False,3.293863843010047
3,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.241132854292196, 66.43617734249162, 6.263807058334351, 1339950.765885968, 10506190.86047321, 2558.1426]",0.6146013703698936,206.3178123387289,Apr-15-2022 12:37:56,False,3.5703797931546655
4,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.29722450418078, 66.26674856710719, 6.354418516159058, 1339950.765885968, 10506190.86047321, 2558.1426]",0.5795364742840469,210.3178123387289,Apr-15-2022 12:37:56,False,3.5477129930302502
5,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.367515401647736, 66.05442996528045, 6.225059509277344, 1339950.765885968, 10506190.86047321, 2558.1426]",0.6119491002303853,214.3178123387289,Apr-15-2022 12:37:56,False,3.655851534075242
6,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.46807055726616, 65.75069604215888, 6.187112808227539, 1339950.765885968, 10506190.86047321, 2558.1426]",0.6055351557209709,218.3178123387289,Apr-15-2022 12:37:56,False,3.757325031010968
7,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.54062915546242, 65.53152769071224, 6.179403305053711, 1339950.765885968, 10506190.86047321, 2558.1426]",0.5919760544375049,222.3178123387289,Apr-15-2022 12:37:56,False,3.835620569966729
8,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.61115887490498, 65.31848771030346, 6.084086179733276, 1339950.765885968, 10506190.86047321, 2558.1426]",0.603101312395968,226.3178123387289,Apr-15-2022 12:37:56,False,3.967916879956872
9,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.70558207138258, 65.03327580124282, 6.088691711425781, 1339950.765885968, 10506190.86047321, 2558.1426]",0.5765990497138163,230.3178123387289,Apr-15-2022 12:37:56,False,4.093224050382659
10,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.84153254332621, 64.6226278345651, 6.234471082687378, 1339950.765885968, 10506190.86047321, 2558.1426]",0.5008631233638271,234.3178123387289,Apr-15-2022 12:37:56,False,4.24007045231347
11,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[51.91572126161489, 64.39853559067568, 6.215347528457642, 1339950.765885968, 10506190.86047321, 2558.1426]",0.48697410916022776,238.3178123387289,Apr-15-2022 12:37:56,False,4.38069799661082
12,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[52.016754355427864, 64.09335802160732, 6.121532201766968, 1339950.765885968, 10506190.86047321, 2558.1426]",0.4844798352443409,242.3178123387289,Apr-15-2022 12:37:56,False,4.614107525420277
13,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[52.19452259517188, 63.55639654477607, 6.061157941818237, 1339950.765885968, 10506190.86047321, 2558.1426]",0.4544590606274667,246.3178123387289,Apr-15-2022 12:37:56,False,5.008359922036648
14,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[52.359710332519406, 63.057435360662026, 6.0503445863723755, 1339950.765885968, 10506190.86047321, 2558.1426]",0.4194584855170288,250.3178123387289,Apr-15-2022 12:37:56,False,5.385000266664993
15,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[52.47574962097096, 62.70693052477509, 6.0728724002838135, 1339950.765885968, 10506190.86047321, 2558.1426]",0.3914304413633566,254.3178123387289,Apr-15-2022 12:37:56,False,5.652747644242882
16,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[52.72226557861827, 61.96231172857516, 6.146863222122192, 1339950.765885968, 10506190.86047321, 2558.1426]",0.33534085828996923,258.3178123387289,Apr-15-2022 12:37:56,False,6.2478475031001395
17,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[53.21902935843737, 60.46180177678601, 6.366032600402832, 1339950.765885968, 10506190.86047321, 2558.1426]",0.2411608145502283,262.3178123387289,Apr-15-2022 12:37:56,False,7.53827988720166
18,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[53.61942018983959, 59.25239309698469, 7.344835996627808, 1339950.765885968, 10506190.86047321, 2558.1426]",0.0927028383008146,266.3178123387289,Apr-15-2022 12:37:56,False,8.541812752619832
19,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[53.870802922220804, 58.49307386524979, 7.365261077880859, 1339950.765885968, 10506190.86047321, 2558.1426]",0.08296439548169718,270.3178123387289,Apr-15-2022 12:37:56,False,9.289324587577466
20,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[54.468831770543595, 56.68668564851606, 7.000813007354736, 1339950.765885968, 10506190.86047321, 2558.1426]",0.10226775522610937,274.3178123387289,Apr-15-2022 12:37:56,False,11.131556881553763
21,1,Point star value,[ 1340004.75050892 10506258.6103664      2566.27588367],"[56.781629423864324, 49.700717596364385, 6.730881214141846, 1339950.765885968, 10506190.86047321, 2558.1426]",0.07678369931045723,278.3178123387289,Apr-15-2022 12:37:56,False,18.318372710388605
