x1, y1, z1, x2, y2, z2, sp 
1349756.87, 10509188.57, 2580.57, 1349758.75, 10509181.00, 2580.22, 0.04
1349758.75, 10509181.00, 2580.22, 1349760.62, 10509173.00, 2580.29, 0.01
1349760.62, 10509173.00, 2580.29, 1349762.50, 10509165.00, 2580.28, 0.00
1349762.50, 10509165.00, 2580.28, 1349764.38, 10509158.00, 2580.39, 0.01
1349764.38, 10509158.00, 2580.39, 1349766.25, 10509150.00, 2580.58, 0.02
1349766.25, 10509150.00, 2580.58, 1349768.12, 10509142.00, 2580.71, 0.02
1349768.12, 10509142.00, 2580.71, 1349770.00, 10509135.00, 2580.71, 0.00
1349770.00, 10509135.00, 2580.71, 1349771.88, 10509127.00, 2580.40, 0.04
1349771.88, 10509127.00, 2580.40, 1349773.75, 10509118.00, 2580.02, 0.04
1349773.75, 10509118.00, 2580.02, 1349775.62, 10509110.00, 2579.85, 0.02
