x1, y1, z1, x2, y2, z2, sp 
1349753.46, 10509191.94, 2580.61, 1349755.50, 10509183.00, 2580.21, 0.04
1349755.50, 10509183.00, 2580.21, 1349757.62, 10509174.00, 2580.30, 0.01
1349757.62, 10509174.00, 2580.30, 1349759.62, 10509165.00, 2580.31, 0.00
1349759.62, 10509165.00, 2580.31, 1349761.75, 10509157.00, 2580.35, 0.01
1349761.75, 10509157.00, 2580.35, 1349763.75, 10509148.00, 2580.65, 0.03
1349763.75, 10509148.00, 2580.65, 1349765.75, 10509139.00, 2580.70, 0.01
1349765.75, 10509139.00, 2580.70, 1349767.88, 10509130.00, 2580.61, 0.01
1349767.88, 10509130.00, 2580.61, 1349769.88, 10509121.00, 2580.19, 0.05
1349769.88, 10509121.00, 2580.19, 1349771.88, 10509113.00, 2579.92, 0.03
1349771.88, 10509113.00, 2579.92, 1349774.00, 10509104.00, 2579.79, 0.01
