x1, y1, z1, x2, y2, z2, sp 
1349746.82, 10509131.44, 2580.31, 1349749.50, 10509132.00, 2580.60, 0.11
1349749.50, 10509132.00, 2580.60, 1349752.25, 10509135.00, 2580.61, 0.00
1349752.25, 10509135.00, 2580.61, 1349755.00, 10509136.00, 2580.62, 0.00
1349755.00, 10509136.00, 2580.62, 1349757.62, 10509137.00, 2580.61, 0.00
1349757.62, 10509137.00, 2580.61, 1349760.38, 10509138.00, 2580.63, 0.01
1349760.38, 10509138.00, 2580.63, 1349763.00, 10509139.00, 2580.64, 0.00
1349763.00, 10509139.00, 2580.64, 1349765.75, 10509140.00, 2580.67, 0.01
1349765.75, 10509140.00, 2580.67, 1349768.38, 10509142.00, 2580.71, 0.01
1349768.38, 10509142.00, 2580.71, 1349771.12, 10509143.00, 2580.74, 0.01
1349771.12, 10509143.00, 2580.74, 1349773.75, 10509145.00, 2580.73, 0.00
1349773.75, 10509145.00, 2580.73, 1349776.50, 10509146.00, 2580.73, 0.00
1349776.50, 10509146.00, 2580.73, 1349779.25, 10509147.00, 2580.30, 0.15
1349779.25, 10509147.00, 2580.30, 1349781.88, 10509149.00, 2580.20, 0.03
1349781.88, 10509149.00, 2580.20, 1349784.62, 10509150.00, 2580.31, 0.04
1349784.62, 10509150.00, 2580.31, 1349787.25, 10509151.00, 2580.31, 0.00
1349787.25, 10509151.00, 2580.31, 1349790.00, 10509152.00, 2580.32, 0.00
1349790.00, 10509152.00, 2580.32, 1349792.75, 10509153.00, 2580.35, 0.01
1349792.75, 10509153.00, 2580.35, 1349795.38, 10509155.00, 2580.39, 0.01
1349795.38, 10509155.00, 2580.39, 1349796.53, 10509155.59, 2574.82, 4.30
