x1, y1, z1, x2, y2, z2, sp 
1349750.79, 10509123.63, 2580.66, 1349751.88, 10509127.00, 2580.52, 0.04
1349751.88, 10509127.00, 2580.52, 1349753.00, 10509129.00, 2580.65, 0.05
1349753.00, 10509129.00, 2580.65, 1349754.12, 10509132.00, 2580.64, 0.00
1349754.12, 10509132.00, 2580.64, 1349755.25, 10509135.00, 2580.65, 0.01
1349755.25, 10509135.00, 2580.65, 1349756.38, 10509138.00, 2580.66, 0.00
1349756.38, 10509138.00, 2580.66, 1349757.50, 10509140.00, 2580.66, 0.00
1349757.50, 10509140.00, 2580.66, 1349758.62, 10509143.00, 2580.70, 0.01
1349758.62, 10509143.00, 2580.70, 1349759.75, 10509146.00, 2580.67, 0.01
1349759.75, 10509146.00, 2580.67, 1349760.75, 10509149.00, 2580.63, 0.01
