x1, y1, z1, x2, y2, z2, sp 
1349748.75, 10509173.72, 2580.29, 1349749.62, 10509173.00, 2580.06, 0.20
1349749.62, 10509173.00, 2580.06, 1349750.25, 10509172.00, 2580.21, 0.13
1349750.25, 10509172.00, 2580.21, 1349751.00, 10509172.00, 2580.07, 0.19
1349751.00, 10509172.00, 2580.07, 1349751.75, 10509171.00, 2580.10, 0.02
1349751.75, 10509171.00, 2580.10, 1349752.50, 10509171.00, 2580.17, 0.10
1349752.50, 10509171.00, 2580.17, 1349753.25, 10509170.00, 2580.19, 0.02
1349753.25, 10509170.00, 2580.19, 1349754.00, 10509169.00, 2580.23, 0.03
1349754.00, 10509169.00, 2580.23, 1349754.75, 10509169.00, 2580.26, 0.03
1349754.75, 10509169.00, 2580.26, 1349755.50, 10509168.00, 2580.23, 0.02
1349755.50, 10509168.00, 2580.23, 1349756.25, 10509167.00, 2580.23, 0.00
1349756.25, 10509167.00, 2580.23, 1349757.00, 10509166.00, 2580.27, 0.03
1349757.00, 10509166.00, 2580.27, 1349757.75, 10509165.00, 2580.28, 0.01
1349757.75, 10509165.00, 2580.28, 1349758.50, 10509165.00, 2580.29, 0.01
1349758.50, 10509165.00, 2580.29, 1349759.25, 10509164.00, 2580.29, 0.00
1349759.25, 10509164.00, 2580.29, 1349759.88, 10509163.00, 2580.36, 0.06
1349759.88, 10509163.00, 2580.36, 1349760.62, 10509163.00, 2580.38, 0.03
1349760.62, 10509163.00, 2580.38, 1349761.38, 10509162.00, 2580.41, 0.02
1349761.38, 10509162.00, 2580.41, 1349762.12, 10509162.00, 2580.39, 0.03
1349762.12, 10509162.00, 2580.39, 1349762.88, 10509161.00, 2580.32, 0.05
1349762.88, 10509161.00, 2580.32, 1349763.62, 10509160.00, 2580.34, 0.01
1349763.62, 10509160.00, 2580.34, 1349764.38, 10509160.00, 2580.33, 0.01
1349764.38, 10509160.00, 2580.33, 1349765.12, 10509159.00, 2580.34, 0.00
1349765.12, 10509159.00, 2580.34, 1349765.88, 10509159.00, 2580.34, 0.01
1349765.88, 10509159.00, 2580.34, 1349766.62, 10509158.00, 2580.29, 0.04
1349766.62, 10509158.00, 2580.29, 1349767.38, 10509157.00, 2580.32, 0.02
1349767.38, 10509157.00, 2580.32, 1349768.12, 10509157.00, 2580.35, 0.05
1349768.12, 10509157.00, 2580.35, 1349768.88, 10509156.00, 2580.39, 0.03
1349768.88, 10509156.00, 2580.39, 1349769.62, 10509155.00, 2580.45, 0.05
1349769.62, 10509155.00, 2580.45, 1349770.38, 10509154.00, 2580.52, 0.06
1349770.38, 10509154.00, 2580.52, 1349771.12, 10509153.00, 2580.60, 0.06
1349771.12, 10509153.00, 2580.60, 1349771.88, 10509153.00, 2580.62, 0.03
1349771.88, 10509153.00, 2580.62, 1349772.62, 10509152.00, 2580.66, 0.03
1349772.62, 10509152.00, 2580.66, 1349773.38, 10509152.00, 2580.63, 0.04
1349773.38, 10509152.00, 2580.63, 1349774.12, 10509151.00, 2580.67, 0.03
1349774.12, 10509151.00, 2580.67, 1349774.88, 10509150.00, 2580.69, 0.01
1349774.88, 10509150.00, 2580.69, 1349775.62, 10509150.00, 2580.68, 0.01
1349775.62, 10509150.00, 2580.68, 1349776.38, 10509149.00, 2580.73, 0.04
1349776.38, 10509149.00, 2580.73, 1349777.00, 10509149.00, 2580.72, 0.01
1349777.00, 10509149.00, 2580.72, 1349777.88, 10509148.00, 2580.75, 0.02
1349777.88, 10509148.00, 2580.75, 1349778.62, 10509147.00, 2580.29, 0.37
1349778.62, 10509147.00, 2580.29, 1349779.38, 10509147.00, 2580.30, 0.01
1349779.38, 10509147.00, 2580.30, 1349780.12, 10509146.00, 2580.22, 0.06
1349780.12, 10509146.00, 2580.22, 1349780.75, 10509146.00, 2580.19, 0.06
1349780.75, 10509146.00, 2580.19, 1349781.50, 10509144.00, 2580.28, 0.04
1349781.50, 10509144.00, 2580.28, 1349782.48, 10509143.57, 2580.60, 0.30
