X1,Y1,Z1,X2,Y2,Z2,Slope
1349745.7029123935,10509179.82087533,2580.025257189788,1349747.0,10509179.0,2579.708740234375,0.2061978896581836
1349747.0,10509179.0,2579.708740234375,1349746.75,10509177.0,2579.68896484375,0.009811341310279185
1349746.75,10509177.0,2579.68896484375,1349747.875,10509175.0,2579.96240234375,0.11916071796624697
1349747.875,10509175.0,2579.96240234375,1349749.0,10509173.0,2579.696533203125,0.11586251952253834
1349749.0,10509173.0,2579.696533203125,1349749.625,10509172.0,2580.02392578125,0.2776283509938533
1349749.625,10509172.0,2580.02392578125,1349750.5,10509170.0,2580.0234375,0.00022367122434135479
1349750.5,10509170.0,2580.0234375,1349751.375,10509168.0,2580.025634765625,0.0010065205095360966
1349751.375,10509168.0,2580.025634765625,1349752.25,10509166.0,2580.029296875,0.001677534182560161
1349752.25,10509166.0,2580.029296875,1349753.0,10509164.0,2580.125732421875,0.0451477081469449
1349753.0,10509164.0,2580.125732421875,1349753.875,10509163.0,2580.24853515625,0.09241847593690418
1349753.875,10509163.0,2580.24853515625,1349754.75,10509161.0,2580.26171875,0.006039123057216579
1349754.75,10509161.0,2580.26171875,1349755.625,10509159.0,2580.28369140625,0.010065205095360966
1349755.625,10509159.0,2580.28369140625,1349756.5,10509158.0,2580.297607421875,0.010472869042551767
1349756.5,10509158.0,2580.297607421875,1349757.375,10509156.0,2580.27490234375,0.010400711931872997
1349757.375,10509156.0,2580.27490234375,1349758.25,10509153.0,2580.407958984375,0.042578125
1349758.25,10509153.0,2580.407958984375,1349759.125,10509152.0,2580.4462890625,0.0288463235031689
1349759.125,10509152.0,2580.4462890625,1349760.0,10509150.0,2580.518798828125,0.03321517681469119
1349760.0,10509150.0,2580.518798828125,1349760.875,10509148.0,2580.625,0.048648491294244665
1349760.875,10509148.0,2580.625,1349761.75,10509147.0,2580.67822265625,0.04005413072414535
1349761.75,10509147.0,2580.67822265625,1349762.5,10509145.0,2580.769287109375,0.04263315225015303
1349762.5,10509145.0,2580.769287109375,1349763.5,10509143.0,2580.685546875,0.03744977130285292
1349763.5,10509143.0,2580.685546875,1349764.375,10509141.0,2580.701416015625,0.007269314791094031
1349764.375,10509141.0,2580.701416015625,1349765.125,10509139.0,2580.676025390625,0.01188699151210701
1349765.125,10509139.0,2580.676025390625,1349766.0,10509138.0,2580.704345703125,0.021313207174315875
1349766.0,10509138.0,2580.704345703125,1349766.875,10509136.0,2580.667236328125,0.016999013049942963
1349766.875,10509136.0,2580.667236328125,1349767.75,10509134.0,2580.701904296875,0.01588065692823619
1349767.75,10509134.0,2580.701904296875,1349768.625,10509132.0,2580.65087890625,0.023373642943671575
1349768.625,10509132.0,2580.65087890625,1349769.5,10509130.0,2580.52099609375,0.05949654567480037
1349769.5,10509130.0,2580.52099609375,1349770.375,10509128.0,2580.406494140625,0.052450902108047696
1349770.375,10509128.0,2580.406494140625,1349771.25,10509127.0,2580.35888671875,0.03582823619820341
1349771.25,10509127.0,2580.35888671875,1349772.125,10509125.0,2580.302490234375,0.02583402641142648
1349772.125,10509125.0,2580.302490234375,1349773.0,10509123.0,2580.212158203125,0.041379176503150636
1349773.0,10509123.0,2580.212158203125,1349773.875,10509121.0,2580.085693359375,0.05793084710441089
1349773.875,10509121.0,2580.085693359375,1349774.75,10509119.0,2580.025146484375,0.027735231818327995
