,x1,y1,z1,x2,y2,z2,sp
0,1349774.3440600934,10509108.810713235,2580.1791413816063,1349772.0,10509115.0,2579.950927734375,0.034482218122080424
1,1349772.0,10509115.0,2579.950927734375,1349770.0,10509119.0,2580.08935546875,0.030953382403378436
2,1349770.0,10509119.0,2580.08935546875,1349768.125,10509124.0,2580.28857421875,0.03730686566876662
3,1349768.125,10509124.0,2580.28857421875,1349766.125,10509128.0,2580.490478515625,0.045147173276179835
4,1349766.125,10509128.0,2580.490478515625,1349764.125,10509132.0,2580.66162109375,0.03826864385320685
5,1349764.125,10509132.0,2580.66162109375,1349762.25,10509137.0,2580.68603515625,0.00457191981234885
6,1349762.25,10509137.0,2580.68603515625,1349760.25,10509142.0,2580.65771484375,0.00525895000696729
7,1349760.25,10509142.0,2580.65771484375,1349758.375,10509147.0,2580.6162109375,0.0077722636809930455
8,1349758.375,10509147.0,2580.6162109375,1349756.375,10509151.0,2580.457763671875,0.03542988567864657
9,1349756.375,10509151.0,2580.457763671875,1349753.6028214218,10509157.73039879,2580.908951363224,0.06198519604063034
