,x1,y1,z1,x2,y2,z2,sp
0,1349758.625,10509176.0,2580.284423828125,1349758.75,10509175.0,2580.309326171875,0.024710044781443875
1,1349758.75,10509175.0,2580.309326171875,1349758.875,10509174.0,2580.322509765625,0.01308178841370558
2,1349758.875,10509174.0,2580.322509765625,1349759.0,10509173.0,2580.340087890625,0.01744238455160744
3,1349759.0,10509173.0,2580.340087890625,1349759.125,10509172.0,2580.3671875,0.026890342850394804
4,1349759.125,10509172.0,2580.3671875,1349759.25,10509171.0,2580.370849609375,0.0036338301149182167
5,1349759.25,10509171.0,2580.370849609375,1349759.375,10509170.0,2580.368896484375,0.0019380427279563823
6,1349759.375,10509170.0,2580.368896484375,1349759.5,10509169.0,2580.33935546875,0.029312896260340282
7,1349759.5,10509169.0,2580.33935546875,1349759.625,10509168.0,2580.3125,0.026648087509400255
8,1349759.625,10509168.0,2580.3125,1349759.625,10509168.0,2580.3125,0.0
9,1349759.625,10509168.0,2580.3125,1349759.875,10509166.0,2580.31982421875,0.0036338301149182167
10,1349759.875,10509166.0,2580.31982421875,1349759.875,10509165.0,2580.322021484375,0.002197265625
11,1349759.875,10509165.0,2580.322021484375,1349760.0,10509164.0,2580.365234375,0.04287919535603496
12,1349760.0,10509164.0,2580.365234375,1349760.125,10509163.0,2580.41455078125,0.04893557888089865
13,1349760.125,10509163.0,2580.41455078125,1349760.25,10509162.0,2580.416259765625,0.0016957873869618346
14,1349760.25,10509162.0,2580.416259765625,1349760.375,10509161.0,2580.408935546875,0.007267660229836433
15,1349760.375,10509161.0,2580.408935546875,1349760.5,10509160.0,2580.383544921875,0.02519455546343297
16,1349760.5,10509160.0,2580.383544921875,1349760.625,10509159.0,2580.3837890625,0.0002422553409945478
17,1349760.625,10509159.0,2580.3837890625,1349760.75,10509158.0,2580.365234375,0.01841140591558563
18,1349760.75,10509158.0,2580.365234375,1349760.875,10509157.0,2580.310302734375,0.05450745172377325
19,1349760.875,10509157.0,2580.310302734375,1349761.0,10509157.0,2580.315185546875,0.0390625
20,1349761.0,10509157.0,2580.315185546875,1349761.125,10509155.0,2580.41259765625,0.04861120346858795
21,1349761.125,10509155.0,2580.41259765625,1349761.25,10509154.0,2580.43115234375,0.01841140591558563
22,1349761.25,10509154.0,2580.43115234375,1349761.375,10509153.0,2580.462158203125,0.030766428306307568
23,1349761.375,10509153.0,2580.462158203125,1349761.375,10509152.0,2580.491455078125,0.029296875
24,1349761.375,10509152.0,2580.491455078125,1349761.5,10509151.0,2580.533203125,0.04142566331006767
25,1349761.5,10509151.0,2580.533203125,1349761.625,10509150.0,2580.580322265625,0.04675528081194772
26,1349761.625,10509150.0,2580.580322265625,1349761.75,10509149.0,2580.590087890625,0.009690213639781911
27,1349761.75,10509149.0,2580.590087890625,1349761.875,10509148.0,2580.6435546875,0.05305391967780596
28,1349761.875,10509148.0,2580.6435546875,1349762.0,10509147.0,2580.67919921875,0.035369279785203975
29,1349762.0,10509147.0,2580.67919921875,1349762.125,10509147.0,2580.666015625,0.10546875
30,1349762.125,10509147.0,2580.666015625,1349762.25,10509146.0,2580.728515625,0.062017367294604234
31,1349762.25,10509146.0,2580.728515625,1349762.375,10509144.0,2580.7705078125,0.02095520550525596
32,1349762.375,10509144.0,2580.7705078125,1349762.5,10509143.0,2580.69482421875,0.07509915570830981
33,1349762.5,10509143.0,2580.69482421875,1349762.625,10509142.0,2580.65185546875,0.04263694001504041
34,1349762.625,10509142.0,2580.65185546875,1349762.75,10509141.0,2580.689208984375,0.03706506717216581
35,1349762.75,10509141.0,2580.689208984375,1349762.875,10509140.0,2580.679443359375,0.009690213639781911
36,1349762.875,10509140.0,2580.679443359375,1349763.0,10509139.0,2580.642822265625,0.03633830114918217
37,1349763.0,10509139.0,2580.642822265625,1349763.125,10509138.0,2580.684326171875,0.041183407969073126
38,1349763.125,10509138.0,2580.684326171875,1349763.125,10509137.0,2580.669921875,0.014404296875
39,1349763.125,10509137.0,2580.669921875,1349763.25,10509137.0,2580.673828125,0.03125
40,1349763.25,10509137.0,2580.673828125,1349763.375,10509136.0,2580.6708984375,0.0029070640919345732
41,1349763.375,10509136.0,2580.6708984375,1349763.5,10509135.0,2580.635986328125,0.034642513762220335
42,1349763.5,10509135.0,2580.635986328125,1349763.625,10509133.0,2580.673095703125,0.01851855370231922
43,1349763.625,10509133.0,2580.673095703125,1349763.75,10509132.0,2580.678955078125,0.0058141281838691465
44,1349763.75,10509132.0,2580.678955078125,1349763.875,10509131.0,2580.639892578125,0.038760854559127644
45,1349763.875,10509131.0,2580.639892578125,1349764.0,10509130.0,2580.60986328125,0.029797406942329376
46,1349764.0,10509130.0,2580.60986328125,1349764.125,10509129.0,2580.58203125,0.027617108873378447
47,1349764.125,10509129.0,2580.58203125,1349764.25,10509128.0,2580.56103515625,0.020833959325531108
48,1349764.25,10509128.0,2580.56103515625,1349764.375,10509127.0,2580.498046875,0.06250187797659333
49,1349764.375,10509127.0,2580.498046875,1349764.5,10509127.0,2580.502685546875,0.037109375
50,1349764.5,10509127.0,2580.502685546875,1349764.625,10509126.0,2580.450439453125,0.051842642972833225
51,1349764.625,10509126.0,2580.450439453125,1349764.75,10509125.0,2580.399169921875,0.05087362160885504
52,1349764.75,10509125.0,2580.399169921875,1349764.875,10509124.0,2580.354736328125,0.0440904720610077
53,1349764.875,10509124.0,2580.354736328125,1349765.0,10509122.0,2580.240478515625,0.0570176521887197
54,1349765.0,10509122.0,2580.240478515625,1349765.0,10509121.0,2580.17431640625,0.066162109375
