X1,Y1,Z1,X2,Y2,Z2,Slope
1349747.9316860125,10509193.883166494,2580.482622155844,1349750.375,10509188.0,2580.0546875,0.06717594411992082
1349750.375,10509188.0,2580.0546875,1349752.875,10509183.0,2580.1162109375,0.011005647076756777
1349752.875,10509183.0,2580.1162109375,1349755.25,10509177.0,2580.2646484375,0.023003028187961145
1349755.25,10509177.0,2580.2646484375,1349757.75,10509172.0,2580.32177734375,0.010219529428417006
1349757.75,10509172.0,2580.32177734375,1349760.125,10509166.0,2580.326171875,0.0006810107029330602
1349760.125,10509166.0,2580.326171875,1349762.625,10509161.0,2580.364990234375,0.0069440392270013
1349762.625,10509161.0,2580.364990234375,1349765.0,10509156.0,2580.40185546875,0.006659907380737195
1349765.0,10509156.0,2580.40185546875,1349767.5,10509150.0,2580.5849609375,0.028170072115384616
1349767.5,10509150.0,2580.5849609375,1349769.875,10509145.0,2580.703369140625,0.021391093242765162
1349769.875,10509145.0,2580.703369140625,1349772.375,10509139.0,2580.74853515625,0.006948617788461538
1349772.375,10509139.0,2580.74853515625,1349774.875,10509134.0,2580.7119140625,0.006550980402831415
1349774.875,10509134.0,2580.7119140625,1349777.25,10509128.0,2580.450927734375,0.040444468968635634
1349777.25,10509128.0,2580.450927734375,1349779.75,10509123.0,2580.223876953125,0.040616078497554775
1349779.75,10509123.0,2580.223876953125,1349782.4854523647,10509116.483431522,2580.4493825487907,0.031907787220862904
