x1, y1, z1, x2, y2, z2, sp 
1349753.78, 10509183.09, 2580.56, 1349754.75, 10509180.00, 2580.18, 0.12
1349754.75, 10509180.00, 2580.18, 1349755.75, 10509177.00, 2580.28, 0.03
1349755.75, 10509177.00, 2580.28, 1349756.62, 10509174.00, 2580.28, 0.00
1349756.62, 10509174.00, 2580.28, 1349757.62, 10509172.00, 2580.32, 0.02
1349757.62, 10509172.00, 2580.32, 1349758.62, 10509169.00, 2580.30, 0.01
1349758.62, 10509169.00, 2580.30, 1349759.62, 10509166.00, 2580.30, 0.00
1349759.62, 10509166.00, 2580.30, 1349760.50, 10509163.00, 2580.42, 0.04
1349760.50, 10509163.00, 2580.42, 1349761.50, 10509160.00, 2580.41, 0.00
1349761.50, 10509160.00, 2580.41, 1349762.50, 10509158.00, 2580.40, 0.01
1349762.50, 10509158.00, 2580.40, 1349763.38, 10509154.00, 2580.47, 0.02
1349763.38, 10509154.00, 2580.47, 1349764.38, 10509152.00, 2580.54, 0.03
1349764.38, 10509152.00, 2580.54, 1349765.38, 10509149.00, 2580.63, 0.03
1349765.38, 10509149.00, 2580.63, 1349766.25, 10509146.00, 2580.78, 0.05
1349766.25, 10509146.00, 2580.78, 1349767.25, 10509143.00, 2580.70, 0.02
1349767.25, 10509143.00, 2580.70, 1349768.25, 10509140.00, 2580.65, 0.01
1349768.25, 10509140.00, 2580.65, 1349769.12, 10509138.00, 2580.73, 0.03
1349769.12, 10509138.00, 2580.73, 1349770.12, 10509135.00, 2580.71, 0.00
1349770.12, 10509135.00, 2580.71, 1349771.12, 10509132.00, 2580.63, 0.03
1349771.12, 10509132.00, 2580.63, 1349772.12, 10509129.00, 2580.51, 0.04
1349772.12, 10509129.00, 2580.51, 1349773.00, 10509126.00, 2580.36, 0.05
1349773.00, 10509126.00, 2580.36, 1349774.00, 10509124.00, 2580.29, 0.03
1349774.00, 10509124.00, 2580.29, 1349775.00, 10509120.00, 2580.10, 0.05
1349775.00, 10509120.00, 2580.10, 1349775.88, 10509118.00, 2580.02, 0.04
1349775.88, 10509118.00, 2580.02, 1349776.88, 10509115.00, 2579.94, 0.03
1349776.88, 10509115.00, 2579.94, 1349777.88, 10509113.00, 2579.91, 0.02
1349777.88, 10509113.00, 2579.91, 1349778.88, 10509109.00, 2579.86, 0.01
1349778.88, 10509109.00, 2579.86, 1349779.75, 10509106.00, 2579.86, 0.00
1349779.75, 10509106.00, 2579.86, 1349780.75, 10509104.00, 2579.88, 0.01
1349780.75, 10509104.00, 2579.88, 1349781.75, 10509101.00, 2579.87, 0.00
1349781.75, 10509101.00, 2579.87, 1349782.75, 10509098.00, 2579.87, 0.00
1349782.75, 10509098.00, 2579.87, 1349783.62, 10509095.00, 2579.87, 0.00
1349783.62, 10509095.00, 2579.87, 1349784.62, 10509092.00, 2579.86, 0.00
