X1,Y1,Z1,X2,Y2,Z2,Slope
1349709.5962110606,10509199.173075717,2578.0398248221336,1349713.125,10509196.0,2577.50927734375,0.11179766294457542
1349713.125,10509196.0,2577.50927734375,1349717.375,10509192.0,2577.017822265625,0.08420649042340374
1349717.375,10509192.0,2577.017822265625,1349721.625,10509187.0,2578.2197265625,0.18315562799462004
1349721.625,10509187.0,2578.2197265625,1349725.875,10509182.0,2578.585205078125,0.05569449017021048
1349725.875,10509182.0,2578.585205078125,1349730.625,10509179.0,2578.36181640625,0.039762661712239855
1349730.625,10509179.0,2578.36181640625,1349734.875,10509175.0,2577.619384765625,0.12720910947718367
1349734.875,10509175.0,2577.619384765625,1349739.125,10509171.0,2577.702880859375,0.014306318790265313
1349739.125,10509171.0,2577.702880859375,1349744.125,10509165.0,2578.18798828125,0.06211164072916609
1349744.125,10509165.0,2578.18798828125,1349747.125,10509162.0,2579.466796875,0.301418076160086
1349747.125,10509162.0,2579.466796875,1349790.625,10509123.0,2579.103759765625,0.006213938792212931
1349790.625,10509123.0,2579.103759765625,1349795.25,10509118.0,2579.090087890625,0.0020073031551190836
1349795.25,10509118.0,2579.090087890625,1349797.75,10509113.0,2579.109375,0.0034501830121578783
1349797.75,10509113.0,2579.109375,1349802.25,10509109.0,2578.073486328125,0.17205174366182552
1349802.25,10509109.0,2578.073486328125,1349806.125,10509105.0,2577.453857421875,0.111260600917903
1349806.125,10509105.0,2577.453857421875,1349810.0,10509100.0,2575.245361328125,0.34912571103404566
1349810.0,10509100.0,2575.245361328125,1349830.8158405966,10509081.788922815,2571.0621942519697,0.1512484039660052
