x1, y1, z1, x2, y2, z2, sp 
1349744.99, 10509164.69, 2580.39, 1349747.00, 10509167.00, 2578.90, 0.49
1349747.00, 10509167.00, 2578.90, 1349749.25, 10509170.00, 2579.70, 0.21
1349749.25, 10509170.00, 2579.70, 1349750.25, 10509172.00, 2580.21, 0.23
1349750.25, 10509172.00, 2580.21, 1349752.12, 10509174.00, 2580.14, 0.02
1349752.12, 10509174.00, 2580.14, 1349753.88, 10509176.00, 2580.20, 0.02
1349753.88, 10509176.00, 2580.20, 1349755.75, 10509179.00, 2580.27, 0.02
1349755.75, 10509179.00, 2580.27, 1349757.50, 10509182.00, 2580.23, 0.01
1349757.50, 10509182.00, 2580.23, 1349759.25, 10509184.00, 2580.18, 0.02
1349759.25, 10509184.00, 2580.18, 1349761.00, 10509186.00, 2580.20, 0.01
1349761.00, 10509186.00, 2580.20, 1349762.88, 10509189.00, 2580.39, 0.06
1349762.88, 10509189.00, 2580.39, 1349764.62, 10509191.00, 2580.23, 0.06
1349764.62, 10509191.00, 2580.23, 1349765.70, 10509192.67, 2580.62, 0.20
