SN,Point Num,Title,Center Point Rel,Circle Point Rel,Center Point Abs,Circle Point Abs,Slope,Angle,Timestamp,Validity,Distance
1,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.9210976  90.86703649  7.77826858],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340014.68698357 10506281.7275097      2565.9208467 ],0.630691430411222,-75.38471371080898,Nov-05-2022 14:27:33,False,1.4151635999579677
2,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.84331499 90.84675348  7.77866888],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340014.60920096 10506281.70722669     2565.92124701],0.628940136225447,-71.38471371080898,Nov-05-2022 14:27:33,False,1.41723198382355
3,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.75589408 90.82395713  7.7854774 ],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340014.52178005 10506281.68443034     2565.92805552],0.6184096714912575,-67.38471371080898,Nov-05-2022 14:27:33,False,1.4216209962898172
4,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.67309396 90.80236572  7.78597808],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340014.43897993 10506281.66283893     2565.9285562 ],0.6104138924396891,-63.38471371080899,Nov-05-2022 14:27:33,False,1.434154495589539
5,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.5923091  90.78129983  7.81170964],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340014.35819507 10506281.64177304     2565.95428777],0.5798433907847002,-59.38471371080899,Nov-05-2022 14:27:33,False,1.4383229154049113
6,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.50459249 90.75842637  7.81271076],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340014.27047846 10506281.61889958     2565.95528889],0.56640784662554,-55.38471371080899,Nov-05-2022 14:27:33,False,1.4618996468798506
7,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.40762997 90.7331419   7.80079627],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340014.17351594 10506281.59361511     2565.9433744 ],0.5593683213089223,-51.38471371080899,Nov-05-2022 14:27:33,False,1.5002554992036647
8,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.30654573 90.70678263  7.77266169],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340014.0724317  10506281.56725584     2565.91523981],0.5612632084457944,-47.38471371080899,Nov-05-2022 14:27:33,False,1.5538821514444772
9,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.19563826 90.67786179  7.80299902],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340013.96152422 10506281.538335       2565.94557714],0.5169921434268037,-43.38471371080899,Nov-05-2022 14:27:33,False,1.58998415806398
10,1,Point star value,[64.2231369  89.70878601  8.53319645],[63.07976713 90.64764661  7.80910635],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340013.8456531  10506281.50811982     2565.95168447],0.4894340347078338,-39.38471371080899,Nov-05-2022 14:27:33,False,1.6471369506369304
11,1,Point star value,[64.2231369  89.70878601  8.53319645],[62.95180408 90.61427827  8.20349121],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340013.71769005 10506281.47475148     2566.34606934],0.21123655509093278,-35.38471371080899,Nov-05-2022 14:27:33,False,1.595277069140095
12,1,Point star value,[64.2231369  89.70878601  8.53319645],[62.79988997 90.57466433  7.91333461],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340013.56577593 10506281.43513754     2566.05591273],0.3720779223978998,-31.384713710808988,Nov-05-2022 14:27:33,False,1.7775280037638876
13,1,Point star value,[64.2231369  89.70878601  8.53319645],[62.64075122 90.53316645  7.76575303],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340013.40663718 10506281.39363966     2565.90833116],0.43012104747608393,-27.384713710808988,Nov-05-2022 14:27:33,False,1.9422968263184468
14,1,Point star value,[64.2231369  89.70878601  8.53319645],[62.43729469 90.48011202  7.7368176 ],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340013.20318066 10506281.34058523     2565.87939572],0.40938699466755873,-23.384713710808988,Nov-05-2022 14:27:33,False,2.1019979770270267
15,1,Point star value,[64.2231369  89.70878601  8.53319645],[62.20269836 90.41893742  7.78437591],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340012.96858433 10506281.27941062     2565.92695403],0.3496533314966909,-19.384713710808988,Nov-05-2022 14:27:33,False,2.2687483620888425
16,1,Point star value,[64.2231369  89.70878601  8.53319645],[61.9326384  90.34851512  7.75033426],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340012.69852437 10506281.20898833     2565.89291239],0.32918843130686437,-15.384713710808986,Nov-05-2022 14:27:33,False,2.5036992439617456
17,1,Point star value,[64.2231369  89.70878601  8.53319645],[61.57796298 90.25602804  7.66823316],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340012.34384894 10506281.11650125     2565.81081128],0.32021582933938453,-11.384713710808986,Nov-05-2022 14:27:33,False,2.8362969570735235
18,1,Point star value,[64.2231369  89.70878601  8.53319645],[61.04153807 90.11614698  7.74743056],[ 1340014.98902287 10506280.56925922     2566.67577457],[ 1340011.80742403 10506280.97662019     2565.89000869],0.2449722219278884,-7.384713710808986,Nov-05-2022 14:27:33,False,3.302414592812822
