SN,Point Num,Title,Center Point Rel,Circle Point Rel,Center Point Abs,Circle Point Abs,Slope,Angle,Timestamp,Validity,Distance
28,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 73.76303015 100.21543214   6.82709908],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340024.52891612 10506291.07590535     2564.96967721],0.12314177734351282,26.124107232584635,Nov-05-2022 14:26:31,False,13.154923141002955
29,1,Point star value,[62.04166794 94.46419525  8.43487549],[71.34186477 99.86980988  6.7882514 ],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340022.10775074 10506290.73028309     2564.93082952],0.15307380956093422,30.124107232584635,Nov-05-2022 14:26:31,False,10.882357350936486
30,1,Point star value,[62.04166794 94.46419525  8.43487549],[69.67583868 99.63198403  6.86104083],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340020.44172465 10506290.49245724     2565.00361896],0.17071978983674682,34.124107232584635,Nov-05-2022 14:26:31,False,9.352195429562205
31,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 69.19784347 100.10889458   6.70695138],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340019.96372944 10506290.96936779     2564.8495295 ],0.1895804132021053,38.124107232584635,Nov-05-2022 14:26:31,False,9.276809821784857
32,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 69.0932594  100.84153062   6.7915554 ],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340019.85914537 10506291.70200383     2564.93413353],0.172841935584422,42.124107232584635,Nov-05-2022 14:26:31,False,9.648619042885821
33,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 68.97964466 101.63742862   6.77984095],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340019.74553063 10506292.49790183     2564.92241907],0.16584311875158866,46.124107232584635,Nov-05-2022 14:26:31,False,10.115826080970583
34,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 68.84589487 102.57437745   6.73638749],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340019.61178084 10506293.43485066     2564.87896562],0.1604400678756563,50.124107232584635,Nov-05-2022 14:26:31,False,10.721819850810553
35,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 68.68623678 103.69281996   6.74219465],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340019.45212275 10506294.55329317     2564.88477278],0.14884899549749428,54.124107232584635,Nov-05-2022 14:26:31,False,11.497085608165493
36,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 68.51600436 104.88533815   6.82459617],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340019.28189033 10506295.74581136     2564.96717429],0.13125264871365788,58.124107232584635,Nov-05-2022 14:26:31,False,12.373772705892316
37,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 68.30732773 106.34716715   7.13327551],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340019.07321369 10506297.20764036     2565.27585363],0.09689086399334818,62.124107232584635,Nov-05-2022 14:26:31,False,13.496580165398836
38,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 68.0468951  108.17155906   7.30899143],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340018.81278107 10506299.03203227     2565.45156956],0.07523392139067193,66.12410723258463,Nov-05-2022 14:26:31,False,15.007404525788685
39,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 67.75191973 110.23793098   7.57201481],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340018.5178057  10506301.09840419     2565.71459293],0.051435736529029503,70.12410723258463,Nov-05-2022 14:26:31,False,16.797685640272004
40,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 67.34558606 113.08439408   7.34914088],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340018.11147203 10506303.94486729     2565.49171901],0.05607880804186106,74.12410723258463,Nov-05-2022 14:26:31,False,19.39129112195531
41,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 66.76585696 117.145533     7.15820622],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340017.53174292 10506308.00600621     2565.30078435],0.05510460685225587,78.12410723258463,Nov-05-2022 14:26:31,False,23.203252542426497
42,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 66.0257251  122.330331     7.21347404],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340016.79161107 10506313.19080421     2565.35605216],0.0433898130855651,82.12410723258463,Nov-05-2022 14:26:31,False,28.1759836460047
43,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 64.00251007 124.27913666   6.22515917],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340014.76839604 10506315.13960987     2564.36773729],0.07395462837576489,86.12410723258463,Nov-05-2022 14:26:31,True,29.960949236331242
44,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 61.93688583 124.33995056   6.40858459],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340012.7027718  10506315.20042377     2564.55116272],0.06782350471317825,90.12410723258463,Nov-05-2022 14:26:31,True,29.944575292049457
45,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 59.71925735 124.36474609   6.51731825],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340010.48514332 10506315.2252193      2564.65989637],0.06393859299443835,94.12410723258463,Nov-05-2022 14:26:31,True,30.051847819348772
46,1,Point star value,[62.04166794 94.46419525  8.43487549],[ 57.79401016 124.12522125   6.63946867],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340008.55989613 10506314.98569446     2564.78204679],0.05991953849206903,98.12410723258463,Nov-05-2022 14:26:31,True,30.017370731879787
47,1,Point star maximum,[62.04166794 94.46419525  8.43487549],[ 64.00251007 124.27913666   6.22515917],[ 1340012.80755391 10506285.32466846     2566.57745361],[ 1340014.76839604 10506315.13960987     2564.36773729],0.07395462837576489,86.12410723258463,Nov-05-2022 14:26:31,True,29.960949236331242
1,2,Point star value,[63.20677948 91.41255188  8.53539944],[62.1789189  98.56179592  7.83353662],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340012.94480486 10506289.42226913     2565.97611475],0.09717383820203751,-81.87589276741537,Nov-05-2022 14:26:31,False,7.256776085856128
2,2,Point star value,[63.20677948 91.41255188  8.53539944],[61.67671349 98.49010591  7.84114599],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340012.44259946 10506289.35057912     2565.98372412],0.09587739279255188,-77.87589276741537,Nov-05-2022 14:26:31,False,7.274260158796539
3,2,Point star value,[63.20677948 91.41255188  8.53539944],[61.17810679 98.41892962  7.84795427],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340011.94399275 10506289.27940283     2565.9905324 ],0.09424590354758361,-73.87589276741537,Nov-05-2022 14:26:31,False,7.326487751083324
4,2,Point star value,[63.20677948 91.41255188  8.53539944],[60.68283658 98.34822961  7.84134626],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340011.44872255 10506289.20870282     2565.98392439],0.09403693300594522,-69.87589276741537,Nov-05-2022 14:26:31,False,7.413205996655431
