SN,Point Num,Title,Center Point Rel,Circle Point Rel,Center Point Abs,Circle Point Abs,Slope,Angle,Timestamp,Validity,Distance
1,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 58.72434874 100.21005439   8.02487183],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340009.4902347  10506291.0705276      2566.16744995],0.061946896627938106,-83.29153049971517,Nov-05-2022 14:25:56,False,1.4849667439243412
2,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 58.61829245 100.19757975   8.02537251],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340009.38417842 10506291.05805296     2566.16795063],0.06145528068662053,-79.29153049971517,Nov-05-2022 14:25:56,False,1.4886381945117457
3,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 58.51792275 100.18577397   8.02847624],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340009.28380872 10506291.04624718     2566.17105436],0.058948347443231325,-75.29153049971517,Nov-05-2022 14:25:56,False,1.4989699424876552
4,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 58.40724181 100.17275537   8.00464702],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340009.17312778 10506291.03322858     2566.14722514],0.07391634255923012,-71.29153049971517,Nov-05-2022 14:25:56,False,1.5198742641616463
5,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 58.29934844 100.16006464   8.01275706],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340009.06523441 10506291.02053785     2566.15533519],0.06739133883804475,-67.29153049971517,Nov-05-2022 14:25:56,False,1.5456523664539537
6,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 58.18752289 100.1469114    8.01866436],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340008.95340886 10506291.00738461     2566.16124249],0.062157091241580135,-63.29153049971517,Nov-05-2022 14:25:56,False,1.5800244266525423
7,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 58.06807458 100.13286154   8.0419929 ],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340008.83396055 10506290.99333476     2566.18457103],0.046049097390324506,-59.29153049971517,Nov-05-2022 14:25:56,False,1.6237269806962702
8,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 57.93970618 100.11776249   8.08094072],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340008.70559215 10506290.9782357      2566.22351885],0.021293057723919605,-55.29153049971517,Nov-05-2022 14:25:56,False,1.6790586334538025
9,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 57.80429572 100.10183512   8.09976387],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340008.57018169 10506290.96230833     2566.242342  ],0.009686605184729562,-51.29153049971517,Nov-05-2022 14:25:56,False,1.7469316554276235
10,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 57.65271461 100.08400571   8.10146618],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340008.41860057 10506290.94447893     2566.2440443 ],0.008306210452927473,-47.29153049971517,Nov-05-2022 14:25:56,False,1.8322747554367802
11,1,Point star value,[58.89565277 98.73786163  8.11668491],[ 57.48611687 100.06441001   8.10757351],[ 1340009.66153874 10506289.59833484     2566.25926304],[ 1340008.25200284 10506290.92488322     2566.25015163],0.004707292405391395,-43.29153049971517,Nov-05-2022 14:25:56,False,1.9356149101639768
